label	max_tokens	min_tokens	conc	n_scored	acc	len_stop_rate	ctok_mean	ctok_p95	stop_reasons	wall_s
H_anchor615	4096	0	32	198	0.4747	0.0303	1876.9543147208121	3647	{"stop":191,"max_tokens":6,"null":1}	237
H_conc1	4096	0	1	100	0.5200	0.0500	1872.37	4096	{"stop":95,"max_tokens":5}	1528
H_conc16	4096	0	16	198	0.4596	0.0152	1862.8426395939086	3690	{"stop":194,"max_tokens":3,"null":1}	286
H_mt3072	3072	0	32	198	0.4646	0.1212	1816.060606060606	3072	{"stop":174,"max_tokens":24}	228
H_mt2048	2048	0	32	198	0.3485	0.4040	1606.70202020202	2048	{"stop":118,"max_tokens":80}	193
H_min8	4096	8	32	198	0.4949	0.0303	1863.0152284263959	3707	{"stop":191,"max_tokens":6,"null":1}	237
H_conc1_mt3072	3072	0	1	100	0.5000	0.1100	1800.72	3072	{"stop":89,"max_tokens":11}	1464
sub_conc1	4096	0	1	100	0.0000	0.0000	None	None	{"null":100}	206
sub_conc1_mt3072	3072	0	1	198	0.4444	0.0909	1813.7665	3072	{"stop":179,"max_tokens":18,"null":1}	2890
